night,run,field,filter,seeing,ellipt,sky,sources
20120821,r929541,G206-034,,1.27,0.079,391.7,27
20120821,r929542,G206-034,,1.48,0.119,393.1,34
20120821,r929543,G206-034,,1.32,0.102,394.7,60
20120821,r929544,G206-034,,1.23,0.050,392.7,71
20120821,r929545,G186-026,,1.28,0.096,33.5,55
20120821,r929546,G186-026,,1.34,0.075,34.4,59
20120821,r929547,G186-026,,1.40,0.111,33.5,28
20120821,r929548,G186-026,,1.33,0.102,35.5,42
20120821,r929549,G186-026,,1.16,0.094,35.1,70
20120821,r929550,KEPLER_SHIFT1,,1.20,0.087,34.9,6
20120821,r929551,KEPLER_SHIFT1,,1.15,0.059,39.6,87
20120821,r929552,KEPLER_SHIFT1,,1.19,0.085,49.5,146
20120821,r929553,KEPLER_SHIFT1,,1.41,0.128,45.6,140
20120821,r929554,KEPLER_SHIFT1,,1.16,0.251,32.0,4
20120821,r929555,KEPLER_SHIFT1,,1.47,0.089,50.7,140
20120821,r929556,KEPLER_SHIFT1,,1.16,0.149,32.6,7
20120821,r929557,KEPLER_SHIFT1,,1.32,0.067,44.5,83
20120821,r929558,KEPLER_SHIFT1,,1.37,0.095,393.3,17
20120821,r929559,KEPLER_SHIFT1,,1.23,0.075,54.9,141
20120821,r929560,KEPLER_SHIFT1,,1.18,0.048,42.3,36
20120821,r929561,KEPLER_SHIFT1,,1.41,0.117,60.4,136
20120821,r929562,KEPLER_SHIFT1,,1.28,0.089,54.9,22
20120821,r929563,KEPLER_SHIFT1,,1.45,0.052,70.1,133
20120821,r929564,KEPLER_SHIFT1,,1.45,0.146,54.0,10
20120821,r929565,KEPLER_SHIFT1,,1.47,0.055,67.0,76
20120821,r929566,KEPLER_SHIFT1,,1.52,0.160,59.1,12
20120821,r929567,KEPLER_SHIFT3,,1.37,0.104,65.9,122
20120821,r929570,KEPLER_SHIFT3,,1.23,0.069,54.4,69
20120821,r929571,KEPLER_SHIFT3,,1.22,0.076,51.8,152
20120821,r929572,KEPLER_SHIFT3,,1.11,0.032,42.7,21
20120821,r929573,KEPLER_SHIFT3,,1.47,0.053,45.4,18
20120821,r929574,KEPLER_SHIFT3,,1.52,0.029,66.0,121
20120821,r929575,KEPLER_SHIFT3,,1.61,0.047,69.5,52
20120821,r929576,KEPLER_SHIFT3,,1.61,0.075,54.9,25
20120821,r929577,KEPLER_SHIFT3,,1.27,0.048,58.0,124
20120821,r929578,KEPLER_SHIFT3,,1.30,0.069,51.7,67
20120821,r929579,KEPLER_SHIFT3,,1.58,0.098,50.1,107
20120821,r929580,KEPLER_SHIFT3,,1.36,0.042,38.0,20
20120821,r929581,KEPLER_SHIFT3,,1.76,0.070,67.2,99
20120821,r929582,KEPLER_SHIFT3,,1.54,0.075,49.0,11
20120821,r929583,KEPLER_SHIFT3,,1.59,0.065,50.0,23
20120821,r929584,KEPLER_SHIFT3,,1.59,0.085,46.6,22
20120821,r929585,KEPLER_SHIFT3,,1.61,0.111,47.8,24
20120821,r929586,KEPLER_SHIFT3,,0.90,0.049,39.1,22
20120821,r929587,KEPLER_SHIFT3,,0.97,0.062,37.7,24
20120821,r929588,G205-042,,1.11,0.057,37.7,5
20120821,r929589,G205-042,,1.00,0.037,38.3,22
20120821,r929590,G205-042,,1.45,0.196,40.2,16
20120821,r929591,G205-042,,1.51,0.074,47.8,29
20120821,r929592,G205-042,,1.14,0.070,39.1,53
20120821,r929593,G205-042,,1.16,0.094,38.4,40
20120821,r929594,G205-042,,0.98,0.080,38.6,32
20120821,r929595,G205-042,,1.10,0.072,38.5,12
20120821,r929596,G205-042,,1.58,0.068,40.1,16
20120821,r929597,G205-042,,1.65,0.076,40.7,27
20120821,r929598,KEPLER_24_15,,0.90,0.042,39.2,31
20120821,r929599,KEPLER_24_15,,1.07,0.115,61.1,304
20120821,r929600,KEPLER_24_15,,1.11,0.049,37.8,14
20120821,r929601,KEPLER_24_15,,1.17,0.116,55.1,292
20120821,r929602,KEPLER_24_15,,1.06,0.058,37.5,32
20120821,r929603,KEPLER_24_15,,1.58,0.109,37.6,12
20120821,r929604,KEPLER_24_15,,1.56,0.111,70.4,187
20120821,r929605,KEPLER_24_15,,1.65,0.093,37.5,14
20120821,r929606,KEPLER_24_15,,1.59,0.105,67.6,85
20120821,r929607,KEPLER_24_15,,1.76,0.120,38.5,22
20120821,r929608,KEPLER_24_15,,1.82,0.077,50.9,26
20120821,r929609,KEPLER_24_15,,1.91,0.087,51.4,23
20120821,r929610,KEPLER_24_15,,1.91,0.087,49.7,24
20120821,r929611,KEPLER_24_15,,1.77,0.061,44.7,19
20120821,r929612,KEPLER_24_15,,1.83,0.075,56.6,74
20120821,r929613,KEPLER_24_15,,1.80,0.086,55.2,75
20120821,r929614,KEPLER_24_15,,2.15,0.116,39.8,14
20120821,r929615,KEPLER_24_15,,1.45,0.110,53.8,195
20120821,r929616,KEPLER_24_15,,1.40,0.067,42.2,17
20120821,r929617,KEPLER_24_15,,1.21,0.048,41.8,12
20120821,r929618,KEPLER_24_15,,1.34,0.052,69.3,171
20120821,r929619,KEPLER_24_15,,1.24,0.059,39.8,14
20120821,r929620,KEPLER_24_15,,1.32,0.049,39.9,21
20120821,r929621,KEPLER_30_11,,1.31,0.068,68.6,238
20120821,r929622,KEPLER_30_11,,1.48,0.053,39.8,9
20120821,r929623,KEPLER_30_11,,1.49,0.091,41.2,20
20120821,r929624,KEPLER_30_11,,1.58,0.103,51.2,165
20120821,r929625,KEPLER_30_11,,1.51,0.077,57.5,197
20120821,r929626,KEPLER_30_11,,1.50,0.067,39.7,23
20120821,r929627,KEPLER_30_11,,1.82,0.062,40.1,12
20120821,r929628,KEPLER_30_11,,1.83,0.074,40.0,12
20120821,r929629,KEPLER_30_11,,1.69,0.083,72.6,173
20120821,r929630,KEPLER_30_11,,1.65,0.059,41.0,12
20120821,r929631,KEPLER_30_11,,1.87,0.090,68.6,64
20120821,r929632,KEPLER_30_11,,1.81,0.083,51.7,23
20120821,r929633,KEPLER_30_11,,1.69,0.125,43.7,17
20120821,r929634,KEPLER_30_11,,1.32,0.100,64.0,241
20120821,r929635,KEPLER_30_11,,1.76,0.120,50.9,159
20120821,r929636,KEPLER_30_11,,2.08,0.080,48.7,65
20120821,r929637,KEPLER_30_11,,3.07,0.321,49.2,54
20120821,r929638,KEPLER_30_11,,1.94,0.105,60.3,22
20120821,r929639,KEPLER_30_11,,2.23,0.180,58.8,19
20120821,r929640,KEPLER_30_11,,1.85,0.082,56.4,24
20120821,r929641,KEPLER_30_11,,1.81,0.104,56.9,23
20120821,r929642,KEPLER_30_11,,1.89,0.081,59.5,75
20120821,r929643,M31,,1.43,0.123,141.4,202
20120821,r929644,ID1892,,1.82,0.070,65.5,26
20120821,r929645,ID1892,,1.86,0.067,64.8,23
20120821,r929646,ID1892,,1.52,0.084,65.3,25
20120821,r929647,ID1892,,2.14,0.094,62.9,22
20120821,r929648,ID1892,,2.06,0.059,79.8,37
20120821,r929649,ID1892,,1.99,0.068,80.5,38
20120821,r929650,ID1892,,2.04,0.093,79.6,37
20120821,r929651,ID1892,,2.08,0.094,80.6,37
20120821,r929652,ID1892,,1.90,0.089,121.8,83
20120821,r929653,ID1892,,1.67,0.062,118.4,89
20120821,r929654,ID1892,,2.02,0.188,129.2,36
20120821,r929655,ID1892,,1.97,0.199,188.2,72
20120821,r929656,ID1892,,1.65,0.080,187.0,84
20120821,r929657,ID1892,,1.65,0.122,186.8,88
20120821,r929658,ID1892,,2.01,0.107,48.7,11
20120821,r929659,ID1892,,1.85,0.122,46.8,14
20120821,r929660,ID1892,,1.49,0.136,54.4,13
20120821,r929661,ID1892,,1.50,0.111,50.2,9
20120821,r929662,ID1892,,1.99,0.104,48.1,15
20120821,r929663,ID1892,,1.49,0.289,48.9,8
20120822,r929752,G205-042,,1.35,0.128,357.8,36
20120822,r929753,G205-042,,1.38,0.146,350.4,29
20120822,r929754,G205-042,,1.13,0.112,346.2,20
20120822,r929755,G205-042,,1.11,0.088,346.0,16
20120822,r929756,G205-042,,1.33,0.151,347.9,21
20120822,r929757,G205-042,,1.20,0.120,345.2,33
20120822,r929758,G206-034,,1.22,0.166,401.1,38
20120822,r929759,G206-034,,1.33,0.129,54.8,136
20120822,r929760,G206-034,,1.26,0.104,39.0,87
20120822,r929761,G206-034,,1.11,0.065,404.0,52
20120822,r929762,G206-034,,1.29,0.117,33.8,73
20120822,r929763,KEPLER_19_19,,1.22,0.116,31.4,29
20120822,r929764,KEPLER_19_19,,1.71,0.197,45.7,158
20120822,r929765,KEPLER_19_19,,1.37,0.155,47.6,188
20120822,r929766,KEPLER_19_19,,1.16,0.105,32.5,34
20120822,r929767,KEPLER_19_19,,1.42,0.150,61.5,194
20120822,r929769,KEPLER_19_19,,1.34,0.069,63.7,20
20120822,r929770,KEPLER_19_19,,1.52,0.086,83.4,140
20120822,r929771,KEPLER_19_19,,1.49,0.073,62.5,34
20120822,r929772,KEPLER_19_19,,1.53,0.112,77.7,153
20120822,r929773,KEPLER_19_19,,1.39,0.114,59.6,28
20120822,r929774,KEPLER_19_19,,1.41,0.092,71.5,99
20120822,r929775,KEPLER_19_19,,1.25,0.079,71.5,112
20120822,r929776,KEPLER_19_19,,1.27,0.061,60.5,25
20120822,r929777,KEPLER_19_19,,1.49,0.105,64.7,32
20120822,r929778,KEPLER_19_19,,1.33,0.058,66.7,33
20120822,r929779,KEPLER_19_19,,1.33,0.085,64.5,38
20120822,r929780,KEPLER_19_19,,1.31,0.089,65.5,40
20120822,r929781,KEPLER_19_19,,1.40,0.074,60.6,24
20120822,r929782,KEPLER_19_19,,1.22,0.073,59.0,31
20120822,r929783,KEPLER_19_19,,1.30,0.103,68.5,110
20120822,r929784,KEPLER_19_19,,1.25,0.114,66.4,120
20120822,r929785,KEPLER_19_19,,1.44,0.125,70.5,179
20120822,r929786,KEPLER_19_19,,1.39,0.151,57.7,42
20120822,r929787,KEPLER_19_19,,1.21,0.134,58.5,37
