# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  oct2003  0545o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0546  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0546o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0547  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0547o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0551  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0551o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0552  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0552o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0553  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0553o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0554  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0554o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0555  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0555o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0556  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0556o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0617  1 2003-10-18 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0617o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0618  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0618o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0619  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0619o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0620  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0620o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0621  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0621o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
