field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,f_outliers_5p,f_outliers_10p,f_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0004,iphas_aug2004b,2055,308,9,0,14.9878345499,0.43795620438,0.0,27,115,190,2,3,6,0,0,0,-4.00543212891e-05,-0.00420665740967,-0.00041389465332,0.0183960148267,0.025201259327,0.0299309682067,newmerges/iphas_aug2004b/intphas_0004_mercat.fits,newmerges/iphas_aug2004b/intphas_0004o_mercat.fits
0005,iphas_nov2003b,1354,416,13,1,30.7237813885,0.96011816839,0.0738552437223,130,249,107,3,7,4,0,0,1,-0.271885871887,-0.099006652832,-0.233723640442,0.0313055679798,0.0367908295064,0.0299828492847,newmerges/iphas_nov2003b/intphas_0005_mercat.fits,newmerges/iphas_nov2003b/intphas_0005o_mercat.fits
0006,iphas_nov2003b,2130,448,11,3,21.0328638498,0.516431924883,0.140845070423,43,243,205,2,5,8,2,1,1,0.128038406372,0.164691925049,0.0305700302124,0.0220752575966,0.0307304716558,0.0309745378513,newmerges/iphas_nov2003b/intphas_0006_mercat.fits,newmerges/iphas_nov2003b/intphas_0006o_mercat.fits
0007,iphas_nov2003b,1240,260,5,1,20.9677419355,0.403225806452,0.0806451612903,22,112,154,0,3,2,0,0,1,-0.142294883728,-0.123480319977,0.0185022354126,0.0212593657233,0.0273205663253,0.0325844677045,newmerges/iphas_nov2003b/intphas_0007_mercat.fits,newmerges/iphas_nov2003b/intphas_0007o_mercat.fits
0008,iphas_nov2003b,1048,405,29,2,38.6450381679,2.76717557252,0.190839694656,124,216,190,8,15,11,0,0,2,-0.193383216858,-0.336366653442,-0.460541725159,0.0335340873125,0.0401660324334,0.0385918281709,newmerges/iphas_nov2003b/intphas_0008_mercat.fits,newmerges/iphas_nov2003b/intphas_0008o_mercat.fits
0008,iphas_sep2010,1489,135,3,0,9.06648757555,0.201477501679,0.0,25,67,61,0,1,2,0,0,0,0.00805187225342,-0.00496482849121,0.00468349456787,0.02006526762,0.0229172961875,0.0240720432598,newmerges/iphas_sep2010/intphas_0008_mercat.fits,newmerges/iphas_sep2010/intphas_0008o_mercat.fits
0009,iphas_aug2010,1176,149,2,0,12.6700680272,0.170068027211,0.0,28,50,98,0,1,1,0,0,0,-0.0127325057983,-0.0134363174438,-0.0098180770874,0.0209722759503,0.0231891249886,0.0276649853401,newmerges/iphas_aug2010/intphas_0009_mercat.fits,newmerges/iphas_aug2010/intphas_0009o_mercat.fits
0009,iphas_nov2003b,678,481,281,130,70.9439528024,41.4454277286,19.1740412979,168,448,87,10,278,1,0,130,0,-0.263481616974,-0.797633647919,-0.0177783966064,0.0423931214194,0.138532160928,0.0320995826843,newmerges/iphas_nov2003b/intphas_0009_mercat.fits,newmerges/iphas_nov2003b/intphas_0009o_mercat.fits
0009,iphas_oct2009,1161,82,7,1,7.06287683032,0.602928509905,0.0861326442722,13,38,46,1,2,5,0,0,1,-0.00767135620117,0.00143623352051,-0.00677013397217,0.0159694175671,0.0208291941728,0.0240608278092,newmerges/iphas_oct2009/intphas_0009_mercat.fits,newmerges/iphas_oct2009/intphas_0009o_mercat.fits
0010,iphas_aug2009,850,146,12,0,17.1764705882,1.41176470588,0.0,20,59,90,1,4,7,0,0,0,-0.0368480682373,-0.0423173904419,-0.0190143585205,0.0227954795782,0.0276507643041,0.0320068419624,newmerges/iphas_aug2009/intphas_0010_mercat.fits,newmerges/iphas_aug2009/intphas_0010o_mercat.fits
0010,iphas_nov2003b,99,77,38,6,77.7777777778,38.3838383838,6.06060606061,26,69,11,5,36,3,0,6,0,0.361747741699,-0.36198425293,0.545583724976,0.0455518847398,0.106450436818,0.0343349568597,newmerges/iphas_nov2003b/intphas_0010_mercat.fits,newmerges/iphas_nov2003b/intphas_0010o_mercat.fits
0010,iphas_nov2008,956,114,8,2,11.9246861925,0.836820083682,0.209205020921,4,66,57,2,4,4,1,0,2,-0.0067925453186,-0.0138168334961,-0.0150465965271,0.0175098732833,0.0284831952543,0.0302398996326,newmerges/iphas_nov2008/intphas_0010_mercat.fits,newmerges/iphas_nov2008/intphas_0010o_mercat.fits
0011,iphas_nov2003b,285,173,50,0,60.701754386,17.5438596491,0.0,42,117,61,3,40,9,0,0,0,-0.318195343018,-0.0431632995605,-0.195260047913,0.0352805218519,0.0650826391132,0.0432623462345,newmerges/iphas_nov2003b/intphas_0011_mercat.fits,newmerges/iphas_nov2003b/intphas_0011o_mercat.fits
0011,iphas_nov2008,1175,83,13,2,7.06382978723,1.10638297872,0.170212765957,11,32,61,3,4,12,0,2,1,-0.0123291015625,-0.0183191299438,-0.014835357666,0.0178935968075,0.0232142230576,0.0296472137261,newmerges/iphas_nov2008/intphas_0011_mercat.fits,newmerges/iphas_nov2008/intphas_0011o_mercat.fits
0012,iphas_nov2003b,21,14,2,0,66.6666666667,9.52380952381,0.0,2,12,1,0,2,0,0,0,0,0.0797481536865,-0.344142913818,-0.137699127197,0.0324152408954,0.0687238513463,0.0232711434166,newmerges/iphas_nov2003b/intphas_0012_mercat.fits,newmerges/iphas_nov2003b/intphas_0012o_mercat.fits
0012,iphas_nov2008,270,19,1,0,7.03703703704,0.37037037037,0.0,3,10,12,0,0,1,0,0,0,-0.0104875564575,-0.0208520889282,-0.0270600318909,0.0152096571375,0.0240626668718,0.027454757409,newmerges/iphas_nov2008/intphas_0012_mercat.fits,newmerges/iphas_nov2008/intphas_0012o_mercat.fits
0013,iphas_nov2003b,264,211,95,6,79.9242424242,35.9848484848,2.27272727273,176,108,60,79,21,14,3,0,3,-0.234563827515,-0.453072071075,-0.454388618469,0.0868376310408,0.0595583138508,0.0483638842598,newmerges/iphas_nov2003b/intphas_0013_mercat.fits,newmerges/iphas_nov2003b/intphas_0013o_mercat.fits
0013,iphas_nov2008,1592,96,8,1,6.03015075377,0.502512562814,0.0628140703518,11,28,70,1,1,7,0,1,0,-0.00546836853027,-0.00982999801636,-0.0129203796387,0.014801032505,0.0189205185099,0.0250650133819,newmerges/iphas_nov2008/intphas_0013_mercat.fits,newmerges/iphas_nov2008/intphas_0013o_mercat.fits
0014,iphas_aug2010,1592,96,8,1,6.03015075377,0.502512562814,0.0628140703518,11,28,70,1,1,7,0,1,0,-0.00546836853027,-0.00982999801636,-0.0129203796387,0.014801032505,0.0189205185099,0.0250650133819,newmerges/iphas_nov2008/intphas_0013_mercat.fits,newmerges/iphas_nov2008/intphas_0013o_mercat.fits
0014,iphas_nov2003b,164,127,76,1,77.4390243902,46.3414634146,0.609756097561,22,106,45,1,76,1,0,1,0,0.725419044495,0.978767871857,0.765817642212,0.0328938655009,0.100536853866,0.0426634624092,newmerges/iphas_nov2003b/intphas_0014_mercat.fits,newmerges/iphas_nov2003b/intphas_0014o_mercat.fits
0015,iphas_aug2009,423,49,1,0,11.5839243499,0.236406619385,0.0,4,5,42,0,0,1,0,0,0,-0.00262832641602,-0.0273265838623,-0.0291442871094,0.0178236620319,0.0209983846665,0.0287480145931,newmerges/iphas_aug2009/intphas_0015_mercat.fits,newmerges/iphas_aug2009/intphas_0015o_mercat.fits
0015,iphas_nov2003b,39,17,0,0,43.5897435897,0.0,0.0,6,9,5,0,0,0,0,0,0,1.18002796173,0.470757484436,0.191792488098,0.0306190517359,0.0357883794676,0.0331742778452,newmerges/iphas_nov2003b/intphas_0015_mercat.fits,newmerges/iphas_nov2003b/intphas_0015o_mercat.fits
0016,iphas_nov2003b,1093,436,26,2,39.89021043,2.37877401647,0.182982616651,253,167,115,11,7,8,0,0,2,0.147894859314,0.292230606079,0.157175064087,0.0407060701691,0.0352130449358,0.0399511567148,newmerges/iphas_nov2003b/intphas_0016_mercat.fits,newmerges/iphas_nov2003b/intphas_0016o_mercat.fits
0017,iphas_jul2012,1064,79,1,0,7.42481203008,0.093984962406,0.0,2,39,40,0,1,0,0,0,0,-0.00247669219971,-0.00142478942871,-0.00403690338135,0.0168034027737,0.0214994453302,0.0243373278739,newmerges/iphas_jul2012/intphas_0017_mercat.fits,newmerges/iphas_jul2012/intphas_0017o_mercat.fits
